"","a","c","path_estimate_y_x1.Y ~ X1","path_estimate_y_x2.Y ~ X2","sd_bootstrap_y_x1","Z_test_boot_y_x1.Y ~ X1","Z_test_boot_y_x2.Y ~ X2","perc_ci_lb_boot_y_x1","perc_ci_ub_boot_y_x1","perc_ci_sgn_same_y_x1","sd_delta_y_x1","Z_test_delta_y_x1.Y ~ X1","sd_delta_y_x2","Z_test_delta_y_x2.Y ~ X2","Sim_run","simulation_run","n","c_estimate"
"result.1",0,0,-0.16184138183014,0.728788266998891,0.228062578459639,1,0,-0.459884827388105,0.382881160397574,0,0.155691929871243,1,0.0717238008188295,0,1,1,50,0.0193583071884103
"result.2",0,0,0.467834199300625,0.432538253336677,0.148093050183615,0,0,0.18060042503715,0.684808225059095,1,0.119623625942152,0,0.106533664247145,0,2,1,50,0.201769351109673
"result.3",0,0,0.239432434713109,0.332711056315841,0.197950901976854,1,1,-0.226171374395011,0.668955392039029,0,0.240737318030786,1,0.102667811297023,0,3,1,50,0.275823517647713
"result.4",0,0,-0.103324243832287,0.442259685563103,0.286085069399346,1,0,-0.508905813817087,0.480366150410918,0,0.181964650101454,1,0.0952457648669158,0,4,1,50,-0.0253701331184457
"result.5",0,0,-0.418375396764614,0.217374376781575,0.331354289748032,1,1,-0.651181998036396,0.581493474451797,0,0.0888686635293054,0,0.0983838662675362,0,5,1,50,-0.191723276685764
"result.6",0,0,-0.0648314928897687,0.559057359583678,0.235791831835441,1,0,-0.472718400363257,0.392663856289973,0,0.19403348615051,1,0.0950038816812436,0,6,1,50,-0.145295315099096
"result.7",0,0,-0.0797719403764933,0.51603837102946,0.314179621146638,1,1,-0.550784864660927,0.523580362063749,0,0.18380449527092,1,0.0979147737956645,0,7,1,50,-0.0976032448553778
"result.8",0,0,-0.188547834691566,0.629849937815775,0.224992337939038,1,0,-0.41820474561219,0.345686280911087,0,0.108232046879791,1,0.0826597766201875,0,8,1,50,-0.0588971931094883
"result.9",0,0,-0.0131679621279372,0.65419630858704,0.268718400271261,1,0,-0.512458475548647,0.44163218134387,0,0.309048289999178,1,0.0840200285419641,0,9,1,50,-0.100191090234967
"result.10",0,0,-0.0706227568779028,0.695384151097967,0.201079280405994,1,0,-0.383254298631707,0.3658384098064,0,0.120344389575618,1,0.0846906411960624,0,10,1,50,-0.20318235122412
"result.11",0,0,-0.259346231590876,0.485012060204722,0.157123336493379,1,0,-0.616600102665289,-0.0349778613305257,1,0.156498577564988,1,0.164325037454288,0,11,1,50,-0.317682912057055
"result.12",0,0,-0.259358397998848,0.562352203101177,0.235314286556428,1,0,-0.513735239710804,0.393582654994333,0,0.12346147022706,0,0.0789008408132401,0,12,1,50,-0.0755730109746328
"result.13",0,0,0.473362217199546,0.262372026727343,0.414618657080064,1,1,-0.587056894716189,0.678157648675706,0,0.159669813338079,0,0.566025266207857,1,13,1,50,0.0639956402431176
"result.14",0,0,0.11672781282675,0.609884409639713,0.235821696549657,1,0,-0.43047574131294,0.527713978504241,0,0.169786842815332,1,0.0819433180261631,0,14,1,50,-0.036211161427045
"result.15",0,0,0.142498080558747,0.486228281503932,0.318121223467946,1,0,-0.496809457655638,0.56158170277879,0,0.204127671550441,1,0.125133036920309,0,15,1,50,0.0470001890823663
"result.16",0,0,-0.0927749895489343,0.542899268647658,0.302803955001704,1,0,-0.569499758209104,0.528329623806052,0,0.206481643224105,1,0.166629446457328,0,16,1,50,-0.245830455599236
"result.17",0,0,-0.169209157722225,0.543171174523214,0.284100738603749,1,0,-0.529799425763474,0.473059139322174,0,0.160653959149849,1,0.136543141772108,0,17,1,50,-0.0849914271868326
"result.18",0,0,0.326841730646854,0.582518791782741,0.366350322756283,1,0,-0.512800411259141,0.655276212739409,0,0.145788034952504,0,0.0972509596333149,0,18,1,50,-0.0063645388513754
"result.19",0,0,0.160149993283814,0.510867671339614,0.216391079456852,1,0,-0.325496594182735,0.664839471033438,0,0.169512321372321,1,0.146950813224073,0,19,1,50,0.400290655085479
"result.20",0,0,0.401518336259032,0.217645702939541,0.42089423117351,1,1,-0.578634603556421,0.607017798137704,0,0.0724783778993022,0,0.138113362624313,1,20,1,50,0.126436309096052
"result.21",0,0,-0.265122445663514,0.526308911295552,0.314729736936011,1,0,-0.537563128297359,0.513109187315306,0,0.107122424759627,0,0.123403425644101,0,21,1,50,-0.33179475471427
"result.22",0,0,0.119915180402222,0.497052503067501,0.209592056926139,1,0,-0.360464258797278,0.512654030987758,0,0.122852539784404,1,0.11108543753423,0,22,1,50,0.20356833881276
"result.23",0,0,-0.352052343825932,0.212670867782739,0.447366877663087,1,1,-0.651709121205773,0.599361898321769,0,0.129952907531055,0,0.116250722305896,1,23,1,50,-0.318452052868281
"result.24",0,0,-0.513519148984938,0.302315775228653,0.497229075611142,1,1,-0.680832324448665,0.725880539414917,0,0.197565813663223,0,0.251793745961276,1,24,1,50,0.0347594599229092
"result.25",0,0,-0.460749599704014,0.435142388083162,0.147577103626928,0,0,-0.68489182220174,-0.156818653827869,1,0.0912703470737643,0,0.0925189263750268,0,25,1,50,-0.0244818793044286
"result.26",0,0,-0.310645332788412,0.441108763788644,0.261272373498286,1,0,-0.590284788337014,0.475528779180354,0,0.150516450104016,0,0.110030287087622,0,26,1,50,0.0352226235367919
"result.27",0,0,0.103773432211555,0.607347047630584,0.201916646851239,1,0,-0.321214864125645,0.489913855782305,0,0.273177035178753,1,0.089242954071761,0,27,1,50,0.0456515772732979
"result.28",0,0,0.185762222337631,0.686448137064108,0.199811162696013,1,0,-0.28638838704401,0.456908487262602,0,0.153756596860547,1,0.0831001970713139,0,28,1,50,-0.0118543323946118
